Error: too many values to unpack (expected 3)
Error: too many values to unpack (expected 3)
Can not load response cookies: Illegal key 'session820/qualitor820'
Can not load response cookies: Illegal key 'session820/qualitor820'
Can not load response cookies: Illegal key 'session820/qualitor820'
Error: too many values to unpack (expected 3)
Name: 广东珠江, URL: http://183.11.239.36:808/hls/83/index.m3u8$订阅源, Date: None, Resolution: None, Response Time: 489 ms
Name: CCTV-1, URL: http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226559/index.m3u8$订阅源, Date: None, Resolution: None, Response Time: 3453 ms
Name: CCTV-1, URL: http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$订阅源, Date: None, Resolution: None, Response Time: 1929 ms
Name: CCTV-1, URL: http://1732e975z9.zicp.fun:8082/hls/1/index.m3u8$订阅源, Date: None, Resolution: None, Response Time: 1195 ms
Name: CCTV-1, URL: http://61.163.181.78:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 514 ms
Name: CCTV-1, URL: http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3$订阅源, Date: None, Resolution: None, Response Time: 3453 ms
Name: CCTV-1, URL: http://117.62.6.204:8887/rtp/239.49.8.129:6000$组播源|1920x1080, Date: None, Resolution: 1920x1080, Response Time: 208 ms
Name: CCTV-1, URL: http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$订阅源, Date: None, Resolution: None, Response Time: 3453 ms
Name: CCTV-1, URL: http://116.117.105.198:8096/tsfile/live/0001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 557 ms
Name: CCTV-1, URL: http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3$订阅源|1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: CCTV-1, URL: http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265001/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no$订阅源, Date: None, Resolution: None, Response Time: 454 ms
Name: CCTV-2, URL: http://118.78.220.187:8686/rtp/226.0.2.154:9144$山西联通组播源|1920x1080, Date: 2024-10-29, Resolution: 1920x1080, Response Time: 240 ms
Name: CCTV-2, URL: http://183.185.175.133:8085/rtp/226.0.2.154:9144$山西联通组播源|1920x1080, Date: 2024-10-06, Resolution: 1920x1080, Response Time: 68 ms
Name: CCTV-2, URL: http://171.118.136.143:8083/rtp/226.0.2.154:9144$山西联通组播源|1920x1080, Date: 2024-10-27, Resolution: 1920x1080, Response Time: 225 ms
Name: CCTV-2, URL: http://171.117.183.38:8084/rtp/226.0.2.154:9144$山西联通组播源|1920x1080, Date: 2024-10-11, Resolution: 1920x1080, Response Time: 164 ms
Name: CCTV-2, URL: http://60.223.72.17:8005/rtp/226.0.2.154:9144$山西联通组播源|1920x1080, Date: 2024-09-20, Resolution: 1920x1080, Response Time: 218 ms
Name: CCTV-2, URL: http://171.117.143.120:8082/rtp/226.0.2.154:9144$山西联通组播源|1920x1080, Date: 2024-10-26, Resolution: 1920x1080, Response Time: 226 ms
